id,name,parent_id,created_at,published_on,last_loaded,owner,url
1,Yogyakarta,null,,,,,
2,"KABUPATEN KULON PROGO",1,,,,,
3,TEMON,2,,,,,
4,WATES,3,,,,,
5,PANJATAN,4,,,,,
6,GALUR,5,,,,,
7,LENDAH,6,,,,,
8,SENTOLO,7,,,,,
9,PENGASIH,8,,,,,
10,KOKAP,9,,,,,
11,GIRIMULYO,10,,,,,
12,NANGGULAN,11,,,,,
13,KALIBAWANG,12,,,,,
14,SAMIGALUH,13,,,,,
15,"KEBON HARJO",14,,,,,
16,BANJARSARI,15,,,,,
17,PURWOHARJO,16,,,,,
18,SIDOHARJO,17,,,,,
19,GERBOSARI,18,,,,,
20,NGARGOSARI,19,,,,,
21,PAGERHARJO,20,,,,,
22,"KABUPATEN BANTUL",1,,,,,
23,SRANDAKAN,22,,,,,
24,SANDEN,23,,,,,
25,KRETEK,24,,,,,
26,PUNDONG,25,,,,,
27,"BAMBANG LIPURO",26,,,,,
28,PANDAK,27,,,,,
29,BANTUL,28,,,,,
30,JETIS,29,,,,,
31,IMOGIRI,30,,,,,
32,DLINGO,31,,,,,
33,PLERET,32,,,,,
34,PIYUNGAN,33,,,,,
35,BANGUNTAPAN,34,,,,,
36,SEWON,35,,,,,
37,KASIHAN,36,,,,,
38,PAJANGAN,37,,,,,
39,SEDAYU,38,,,,,
40,ARGODADI,39,,,,,
41,ARGOREJO,40,,,,,
42,ARGOSARI,41,,,,,
43,ARGOMULYO,42,,,,,
44,"KABUPATEN GUNUNG KIDUL",1,,,,,
45,PANGGANG,44,,,,,
46,PURWOSARI,45,,,,,
47,PALIYAN,46,,,,,
48,"SAPTO SARI",47,,,,,
49,TEPUS,48,,,,,
50,TANJUNGSARI,49,,,,,
51,RONGKOP,50,,,,,
52,GIRISUBO,51,,,,,
53,SEMANU,52,,,,,
54,PONJONG,53,,,,,
55,KARANGMOJO,54,,,,,
56,WONOSARI,55,,,,,
57,PLAYEN,56,,,,,
58,PATUK,57,,,,,
59,"GEDANG SARI",58,,,,,
60,NGLIPAR,59,,,,,
61,NGAWEN,60,,,,,
62,SEMIN,61,,,,,
63,KALITEKUK,62,,,,,
64,KEMEJING,63,,,,,
65,SEMIN,64,,,,,
66,"PUNDUNG SARI",65,,,,,
67,"KARANG SARI",66,,,,,
68,REJOSARI,67,,,,,
69,BULUREJO,68,,,,,
70,SUMBERREJO,69,,,,,
71,"CANDI REJO",70,,,,,
72,"KABUPATEN SLEMAN",1,,,,,
73,MOYUDAN,72,,,,,
74,MINGGIR,73,,,,,
75,SEYEGAN,74,,,,,
76,GODEAN,75,,,,,
77,GAMPING,76,,,,,
78,MLATI,77,,,,,
79,DEPOK,78,,,,,
80,BERBAH,79,,,,,
81,PRAMBANAN,80,,,,,
82,KALASAN,81,,,,,
83,NGEMPLAK,82,,,,,
84,NGAGLIK,83,,,,,
85,SLEMAN,84,,,,,
86,TEMPEL,85,,,,,
87,TURI,86,,,,,
88,PAKEM,87,,,,,
89,CANGKRINGAN,88,,,,,
90,"WUKIR SARI",89,,,,,
91,"ARGO MULYO",90,,,,,
92,"GLAGAH HARJO",91,,,,,
93,"KEPUH HARJO",92,,,,,
94,"UMBUL HARJO",93,,,,,
95,"KOTA YOGYAKARTA",1,,,,,
96,MANTRIJERON,95,,,,,
97,KRATON,96,,,,,
98,MERGANGSAN,97,,,,,
99,UMBULHARJO,98,,,,,
100,KOTAGEDE,99,,,,,
101,GONDOKUSUMAN,100,,,,,
102,DANUREJAN,101,,,,,
103,PAKUALAMAN,102,,,,,
104,GONDOMANAN,103,,,,,
105,NGAMPILAN,104,,,,,
106,WIROBRAJAN,105,,,,,
107,"GEDONG TENGEN",106,,,,,
108,JETIS,107,,,,,
109,TEGALREJO,108,,,,,
110,TEGALREJO,109,,,,,
111,KRICAK,110,,,,,
112,KARANGWARU,111,,,,,
